Date,DateKey,Year,Month,Day,Weekday
2017-01-03 16:57:00,20170103,2017,1,3,Tuesday
2017-01-04 16:57:00,20170104,2017,1,4,Wednesday
2017-01-05 16:57:00,20170105,2017,1,5,Thursday
2017-01-06 16:57:00,20170106,2017,1,6,Friday
2017-01-07 16:57:00,20170107,2017,1,7,Saturday
2017-01-08 16:57:00,20170108,2017,1,8,Sunday
2017-01-09 16:57:00,20170109,2017,1,9,Monday
2017-01-10 16:57:00,20170110,2017,1,10,Tuesday
2017-01-11 16:57:00,20170111,2017,1,11,Wednesday
2017-01-12 16:57:00,20170112,2017,1,12,Thursday
2017-01-13 16:57:00,20170113,2017,1,13,Friday
2017-01-14 16:57:00,20170114,2017,1,14,Saturday
2017-01-15 16:57:00,20170115,2017,1,15,Sunday
2017-01-16 16:57:00,20170116,2017,1,16,Monday
2017-01-17 16:57:00,20170117,2017,1,17,Tuesday
2017-01-18 16:57:00,20170118,2017,1,18,Wednesday
2017-01-19 16:57:00,20170119,2017,1,19,Thursday
2017-01-20 16:57:00,20170120,2017,1,20,Friday
2017-01-21 16:57:00,20170121,2017,1,21,Saturday
2017-01-22 16:57:00,20170122,2017,1,22,Sunday
2017-01-23 16:57:00,20170123,2017,1,23,Monday
2017-01-24 16:57:00,20170124,2017,1,24,Tuesday
2017-01-25 16:57:00,20170125,2017,1,25,Wednesday
2017-01-26 16:57:00,20170126,2017,1,26,Thursday
2017-01-27 16:57:00,20170127,2017,1,27,Friday
2017-01-28 16:57:00,20170128,2017,1,28,Saturday
2017-01-29 16:57:00,20170129,2017,1,29,Sunday
2017-01-30 16:57:00,20170130,2017,1,30,Monday
2017-01-31 16:57:00,20170131,2017,1,31,Tuesday
2017-02-01 16:57:00,20170201,2017,2,1,Wednesday
2017-02-02 16:57:00,20170202,2017,2,2,Thursday
2017-02-03 16:57:00,20170203,2017,2,3,Friday
2017-02-04 16:57:00,20170204,2017,2,4,Saturday
2017-02-05 16:57:00,20170205,2017,2,5,Sunday
2017-02-06 16:57:00,20170206,2017,2,6,Monday
2017-02-07 16:57:00,20170207,2017,2,7,Tuesday
2017-02-08 16:57:00,20170208,2017,2,8,Wednesday
2017-02-09 16:57:00,20170209,2017,2,9,Thursday
2017-02-10 16:57:00,20170210,2017,2,10,Friday
2017-02-11 16:57:00,20170211,2017,2,11,Saturday
2017-02-12 16:57:00,20170212,2017,2,12,Sunday
2017-02-13 16:57:00,20170213,2017,2,13,Monday
2017-02-14 16:57:00,20170214,2017,2,14,Tuesday
2017-02-15 16:57:00,20170215,2017,2,15,Wednesday
2017-02-16 16:57:00,20170216,2017,2,16,Thursday
2017-02-17 16:57:00,20170217,2017,2,17,Friday
2017-02-18 16:57:00,20170218,2017,2,18,Saturday
2017-02-19 16:57:00,20170219,2017,2,19,Sunday
2017-02-20 16:57:00,20170220,2017,2,20,Monday
2017-02-21 16:57:00,20170221,2017,2,21,Tuesday
2017-02-22 16:57:00,20170222,2017,2,22,Wednesday
2017-02-23 16:57:00,20170223,2017,2,23,Thursday
2017-02-24 16:57:00,20170224,2017,2,24,Friday
2017-02-25 16:57:00,20170225,2017,2,25,Saturday
2017-02-26 16:57:00,20170226,2017,2,26,Sunday
2017-02-27 16:57:00,20170227,2017,2,27,Monday
2017-02-28 16:57:00,20170228,2017,2,28,Tuesday
2017-03-01 16:57:00,20170301,2017,3,1,Wednesday
2017-03-02 16:57:00,20170302,2017,3,2,Thursday
2017-03-03 16:57:00,20170303,2017,3,3,Friday
2017-03-04 16:57:00,20170304,2017,3,4,Saturday
2017-03-05 16:57:00,20170305,2017,3,5,Sunday
2017-03-06 16:57:00,20170306,2017,3,6,Monday
2017-03-07 16:57:00,20170307,2017,3,7,Tuesday
2017-03-08 16:57:00,20170308,2017,3,8,Wednesday
2017-03-09 16:57:00,20170309,2017,3,9,Thursday
2017-03-10 16:57:00,20170310,2017,3,10,Friday
2017-03-11 16:57:00,20170311,2017,3,11,Saturday
2017-03-12 16:57:00,20170312,2017,3,12,Sunday
2017-03-13 16:57:00,20170313,2017,3,13,Monday
2017-03-14 16:57:00,20170314,2017,3,14,Tuesday
2017-03-15 16:57:00,20170315,2017,3,15,Wednesday
2017-03-16 16:57:00,20170316,2017,3,16,Thursday
2017-03-17 16:57:00,20170317,2017,3,17,Friday
2017-03-18 16:57:00,20170318,2017,3,18,Saturday
2017-03-19 16:57:00,20170319,2017,3,19,Sunday
2017-03-20 16:57:00,20170320,2017,3,20,Monday
2017-03-21 16:57:00,20170321,2017,3,21,Tuesday
2017-03-22 16:57:00,20170322,2017,3,22,Wednesday
2017-03-23 16:57:00,20170323,2017,3,23,Thursday
2017-03-24 16:57:00,20170324,2017,3,24,Friday
2017-03-25 16:57:00,20170325,2017,3,25,Saturday
2017-03-26 16:57:00,20170326,2017,3,26,Sunday
2017-03-27 16:57:00,20170327,2017,3,27,Monday
2017-03-28 16:57:00,20170328,2017,3,28,Tuesday
2017-03-29 16:57:00,20170329,2017,3,29,Wednesday
2017-03-30 16:57:00,20170330,2017,3,30,Thursday
2017-03-31 16:57:00,20170331,2017,3,31,Friday
2017-04-01 16:57:00,20170401,2017,4,1,Saturday
2017-04-02 16:57:00,20170402,2017,4,2,Sunday
2017-04-03 16:57:00,20170403,2017,4,3,Monday
2017-04-04 16:57:00,20170404,2017,4,4,Tuesday
2017-04-05 16:57:00,20170405,2017,4,5,Wednesday
2017-04-06 16:57:00,20170406,2017,4,6,Thursday
2017-04-07 16:57:00,20170407,2017,4,7,Friday
2017-04-08 16:57:00,20170408,2017,4,8,Saturday
2017-04-09 16:57:00,20170409,2017,4,9,Sunday
2017-04-10 16:57:00,20170410,2017,4,10,Monday
2017-04-11 16:57:00,20170411,2017,4,11,Tuesday
2017-04-12 16:57:00,20170412,2017,4,12,Wednesday
2017-04-13 16:57:00,20170413,2017,4,13,Thursday
2017-04-14 16:57:00,20170414,2017,4,14,Friday
2017-04-15 16:57:00,20170415,2017,4,15,Saturday
2017-04-16 16:57:00,20170416,2017,4,16,Sunday
2017-04-17 16:57:00,20170417,2017,4,17,Monday
2017-04-18 16:57:00,20170418,2017,4,18,Tuesday
2017-04-19 16:57:00,20170419,2017,4,19,Wednesday
2017-04-20 16:57:00,20170420,2017,4,20,Thursday
2017-04-21 16:57:00,20170421,2017,4,21,Friday
2017-04-22 16:57:00,20170422,2017,4,22,Saturday
2017-04-23 16:57:00,20170423,2017,4,23,Sunday
2017-04-24 16:57:00,20170424,2017,4,24,Monday
2017-04-25 16:57:00,20170425,2017,4,25,Tuesday
2017-04-26 16:57:00,20170426,2017,4,26,Wednesday
2017-04-27 16:57:00,20170427,2017,4,27,Thursday
2017-04-28 16:57:00,20170428,2017,4,28,Friday
2017-04-29 16:57:00,20170429,2017,4,29,Saturday
2017-04-30 16:57:00,20170430,2017,4,30,Sunday
2017-05-01 16:57:00,20170501,2017,5,1,Monday
2017-05-02 16:57:00,20170502,2017,5,2,Tuesday
2017-05-03 16:57:00,20170503,2017,5,3,Wednesday
2017-05-04 16:57:00,20170504,2017,5,4,Thursday
2017-05-05 16:57:00,20170505,2017,5,5,Friday
2017-05-06 16:57:00,20170506,2017,5,6,Saturday
2017-05-07 16:57:00,20170507,2017,5,7,Sunday
2017-05-08 16:57:00,20170508,2017,5,8,Monday
2017-05-09 16:57:00,20170509,2017,5,9,Tuesday
2017-05-10 16:57:00,20170510,2017,5,10,Wednesday
2017-05-11 16:57:00,20170511,2017,5,11,Thursday
