MachineKey,MachineGroup
1,ACON-VAVU
2,ACON-MAHU
3,ACON-FCU
4,ACON-AHU
5,1-T2-T07-00-52.03-EL-VIIN-VIES-0016
6,ACON-CRAC
7,1-R-R06-00-51.08-BM-THS-FTHS-0039
8,1-R-R06-01-51.01-BM-THS-FTHS-0042
9,1-R-R06-06-03.01-BM-DCPD-VLCC-0036
10,1-R-R06-05-51.01-BM-THS-FTHS-0046
11,1-R-R06-07-01.01-BM-DCPD-VLCC-0046
12,1-R-R06-00-51.06-BM-DCPD-VLCC-0034
13,1-R-R06-06-51.01-BM-THS-FTHS-0047
14,1-R-R06-02-51.01-BM-THS-FTHS-0043
15,1-R-R06-06-03.01-BM-THS-FTHS-0048
16,1-R-R06-00-51.06-BM-DCPD-VLCC-0035
17,1-R-R06-06-03.01-BM-DCPD-VLCC-0042
18,1-R-R06-00-51.06-BM-THS-FTHS-0037
19,1-R-R06-07-01.01-BM-DCPD-VLCC-0051
20,1-R-R06-06-03.01-BM-DCPD-VLCC-0037
21,1-R-R06-06-03.01-BM-DCPD-VLCC-0041
22,1-R-R06-06-03.01-BM-DCPD-VLCC-0038
23,1-R-R06-07-01.01-BM-THS-FTHS-0050
24,1-R-R06-00-51.07-BM-THS-FTHS-0038
25,1-R-R06-07-01.01-BM-DCPD-VLCC-0048
26,1-R-R06-07-01.01-BM-DCPD-VLCC-0047
27,1-R-R06-06-03.01-BM-DCPD-VLCC-0040
28,1-R-R06-04-51.01-BM-THS-FTHS-0045
29,1-R-R06-07-01.01-BM-DCPD-VLCC-0052
30,R01-FAS-SSIF
31,1-R-R06-07-01.01-BM-DCPD-VLCC-0045
32,1-R-R06-03-51.01-BM-THS-FTHS-0044
33,1-ST-M-00-DC1.01-AC-SBCW-BECH-0001
34,1-S-S01-00-51.05-EL-VIIN-VIES-0003
35,1-S-S01-00-51.01-EL-VIIN-VIES-0004
36,0-S-S01-B1-51.01-EL-VIIN-VIES-0001
37,0-S-S01-B1-51.01-EL-VIIN-VIES-0002
38,0-R-R02-B3-51.01-EL-VIIN-VIES-0002
39,0-R-R02-B2-51.01-EL-VIIN-VIES-0004
40,0-R-R02-B2-51.01-EL-VIIN-VIES-0003
41,0-R-R02-B3-51.01-EL-VIIN-VIES-0001
42,1-R-R01-03-01.03-SG-GMCS-SAGD-0023
43,AAA-BMS-SSIF
44,T01-BMS-SSIF
45,1-T2-T07-10-05.04-SG-GMCS-GAMA-0059
46,1-T2-T07-07-04.06-SG-GMCS-GAMA-0040
47,1-R-R01-01-01.03-SG-GMCS-GAMA-0009
48,1-T2-T07-03-05.04-SG-GMCS-GAMA-0017
49,1-T2-T07-06-12.02-SG-GMCS-GAMA-0094
50,1-T2-T07-00-02.01-SG-GMCS-GAMA-0002
51,G02-SM-SSIF
52,QQQ-SM-SSIF
53,1-R-R01-04-04.03-SG-GMCS-GAMA-0024
54,1-T1-T03-00-52.04-EL-VIIN-VIES-0002
